자치구,행정동,행정동_코드,월평균_총생활인구수,연령대0_평균,연령대10_평균,연령대20_평균,연령대30_평균,연령대40_평균,연령대50_평균,연령대60_평균,연령대70이상_평균,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구,연령대_100,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점,연령대_2030_거주인구수_합,연령대_2030_거주인구수_평균,연령대_20_거주인구수_비율,연령대_30_거주인구수_비율,연령대_2030_거주인구수_비율,1인가구_비율,식품접객업,주점,주요경제활동인구_거주인구수,주요경제활동인구_생활인구수,PET예측량,수거함_개수,총_거주인구수,거주인구_당_수거함개수
종로구,창신3동,11110690,3519784.8497916665,247107.12505833336,338202.621175,432226.24715833337,542365.9781833333,555929.36855,571791.16455,425210.66903333337,406951.6786916666,613,786,653,421,102,20,0,2.75,337.0833333333333,452.3333333333333,855.25,857.25,835.8333333333334,1141.3333333333333,947.8333333333334,470.75,216.16666666666663,34.666666666666664,12.0,0.0,12.0,24.0,269.0,104.0,1712.5,1712.5,0.1390367811420443,0.1393619183092867,0.278398699451331,0.2362235067437379,421.0,12.0,3689.666666666667,2102312.7584416666,16.730726033766665,0.0,6151.25,6151.25
종로구,숭인1동,11110700,5959445.740633334,292908.9118,337256.761075,813404.1582749999,917366.4402833332,947107.582475,1110014.215825,777265.4370416667,764122.2389083334,1007,749,473,289,78,20,6,2.6666666666666665,246.5,321.75,716.4166666666666,744.8333333333334,811.5833333333334,1045.9166666666667,839.1666666666666,471.9166666666667,216.16666666666663,30.83333333333333,120.0,72.0,48.0,108.0,2620.0,379.0,1461.25,1461.25,0.1315068912242057,0.1367231119881296,0.2682300032123353,0.3840579710144927,3347.0,192.0,3318.75,3787892.3968583336,28.82159458743333,0.0,5447.750000000001,5447.750000000001
종로구,숭인2동,11110710,9529392.727525,271848.1868916667,415862.3204416667,1613588.34945,1604658.1854416665,1534192.4773583335,1694941.345325,1267626.6781666668,1126675.182,2988,1080,539,357,80,16,5,3.4166666666666665,242.25,309.8333333333333,1985.0,1453.1666666666667,1123.25,1508.1666666666667,1247.9166666666667,662.1666666666666,276.8333333333333,35.75,36.0,23.0,12.0,12.0,1206.0,255.0,3438.166666666667,3438.166666666667,0.2243508236557317,0.1642413796351238,0.3885922032908555,0.5899308983218163,1544.0,59.0,6069.583333333334,6447380.357575,66.3516214303,0.0,8847.75,8847.75
중구,소공동,11140520,18155541.974658333,502437.89475,542196.6391916666,2846086.9375,4672655.542033333,4499883.711708333,2990199.747191667,1342038.418683333,760043.0837750001,435,244,160,70,12,0,0,2.0,149.5,112.08333333333331,226.75,435.9166666666667,449.5,279.6666666666667,219.0833333333333,93.75,38.333333333333336,8.083333333333334,327.0,148.0,364.0,300.0,8266.0,3942.0,662.6666666666667,662.6666666666667,0.1125496360026472,0.2163716082064858,0.3289212442091331,0.4723127035830619,13347.0,475.0,1391.8333333333337,15008825.938433334,65.94042875373333,0.0,2014.6666666666665,2014.6666666666665
중구,회현동,11140540,16893522.082225,240623.1465,346943.69245833333,2410514.165175,3833187.752916666,3789543.548383333,2912090.526275,1882080.7489333327,1478538.5073666666,867,577,307,198,50,9,0,12.0,174.33333333333334,187.8333333333333,458.1666666666667,485.75,604.1666666666666,852.8333333333334,947.5833333333334,499.1666666666667,225.0833333333333,56.833333333333336,190.0,48.0,372.0,204.0,8540.0,3826.0,943.9166666666669,943.9166666666669,0.1017300397816634,0.1078545656397446,0.2095846054214081,0.4317729083665338,13180.0,238.0,2400.916666666667,12945335.992749998,63.55086897099999,1.0,4503.75,4503.75
중구,명동,11140550,21449065.479691666,288013.3584,469862.0888916667,4090275.819691667,5727004.569491667,5063149.788008333,3214806.3135333336,1576886.2375750002,1019067.303475,581,258,130,65,20,0,6,4.583333333333333,75.5,118.25,338.5,368.3333333333333,382.3333333333333,445.25,470.1666666666667,282.8333333333333,129.33333333333334,23.916666666666668,413.0,140.0,299.0,596.0,15399.0,6446.0,706.8333333333333,706.8333333333333,0.1282682834406972,0.1395730706075533,0.2678413540482505,0.5481132075471699,23293.0,553.0,1534.4166666666663,18095236.490725,80.2680209629,0.0,2639.0,2639.0
중구,필동,11140570,7972901.207266666,217010.00865,476775.0569416666,1748769.5824666666,1467329.9841083332,1441755.9269583337,1272302.1662416663,726814.9752250001,622143.511125,1020,485,221,127,39,11,0,7.666666666666667,165.0,168.33333333333334,671.6666666666666,600.8333333333334,438.1666666666667,545.25,564.0,325.5833333333333,174.33333333333334,47.16666666666666,448.0,36.0,95.0,183.0,6389.0,1762.0,1272.5,1272.5,0.1811398777418194,0.162037037037037,0.3431769147788565,0.535995796111403,8913.0,484.0,2255.916666666667,5930157.659775,37.5671306391,0.0,3708.0,3708.0
중구,장충동,11140580,7641107.38335,130228.15721666667,317709.3533166667,1767978.1695416663,1561045.077933333,1379222.167725,1143104.522375,755220.2905666666,586599.6472166666,1509,565,274,206,61,13,0,1.3333333333333333,163.58333333333334,244.75,1093.75,610.5,522.25,544.25,485.75,334.1666666666667,177.08333333333334,26.0,12.0,24.0,72.0,90.0,1515.0,468.0,1704.25,1704.25,0.2602049919708174,0.1452389920897682,0.4054439840605857,0.5742009132420092,2181.0,36.0,2770.75,5851349.937574999,43.89007475029999,0.0,4203.416666666666,4203.416666666666
중구,광희동,11140590,15442896.62195,227181.973025,520223.655825,3015983.9857916664,3400014.748658333,3010584.0471166666,2509675.5025416664,1644152.6580166668,1115080.05675,1391,676,280,163,34,12,0,5.0,117.08333333333331,172.91666666666666,931.0,791.3333333333334,582.3333333333334,756.9166666666666,773.5,471.4166666666667,179.16666666666666,28.75,576.0,72.0,149.0,85.0,8073.0,3517.0,1722.3333333333337,1722.3333333333337,0.1935785698196246,0.1645383189229462,0.3581168887425709,0.5442097026604069,12472.0,648.0,3061.583333333333,11936258.284108331,66.62785813643333,0.0,4809.416666666668,4809.416666666668
중구,을지로동,11140605,11963062.101525,100374.35554166666,182504.02285,1758236.929775,2313747.177233333,2476649.5908416663,2440567.822225,1549613.0487083334,1141369.1530833333,781,230,57,36,7,0,0,2.5,36.75,34.25,194.75,284.6666666666667,173.33333333333334,270.0,354.6666666666667,169.66666666666666,68.16666666666667,16.833333333333332,510.0,132.0,56.0,128.0,7091.0,1758.0,479.4166666666667,479.4166666666667,0.1212954793169668,0.1772979706233456,0.2985934499403124,0.7029702970297029,9675.0,642.0,922.75,8989201.520074999,46.55888108029999,0.0,1605.5833333333335,1605.5833333333335
중구,신당동,11140615,16675149.5823,282699.9473416667,518932.48828333337,2929993.981225,3938819.965633333,3186618.7075,2673098.595033333,1760845.9359,1384139.9543,2223,944,481,285,68,24,0,3.583333333333333,235.0833333333333,260.25,1238.5833333333333,1217.6666666666667,958.5833333333334,1229.4166666666667,987.4166666666666,590.8333333333334,235.75,47.91666666666666,84.0,108.0,187.0,307.0,8226.0,2668.0,2456.25,2456.25,0.1768120769441239,0.1738261500576962,0.3506382270018201,0.5522981366459627,11580.0,192.0,4644.25,12728531.249391666,81.09134999756665,0.0,7005.083333333333,7005.083333333333
중구,다산동,11140625,10752911.497775,557920.5584166667,700476.7576833334,1681962.2725416666,1920226.2147,1752337.3191583334,1565065.5891916668,1257372.10435,1317550.6828583332,2466,1761,1054,745,172,52,14,8.833333333333334,488.8333333333333,723.75,2129.583333333333,2020.9166666666667,1814.5833333333333,2093.333333333333,1833.1666666666667,1126.4166666666667,500.5833333333333,75.66666666666667,0.0,24.0,21.0,48.0,1155.0,243.0,4150.5,4150.5,0.1661703123780789,0.1576911072385362,0.3238614196166151,0.3936781609195402,1491.0,24.0,8058.416666666666,6919591.395591667,61.15431558236666,0.0,12815.666666666666,12815.666666666666
중구,약수동,11140635,11322776.900158333,756457.1424083334,641954.0002666666,1296279.7917916663,1891306.0513583336,1822945.87235,1662676.3295166667,1508034.6533916667,1743123.052525,2054,2209,1504,918,189,43,8,4.416666666666667,942.9166666666666,863.6666666666666,1843.1666666666667,2172.6666666666665,2203.083333333333,2559.9166666666665,2484.25,1463.25,756.8333333333334,136.83333333333334,0.0,12.0,28.0,60.0,789.0,217.0,4015.833333333333,4015.833333333333,0.1194457045341628,0.1407988248763312,0.260244529410494,0.2966064981949458,1106.0,12.0,8778.833333333332,6673208.045016667,54.57588218006667,0.0,15431.0,15431.0
중구,청구동,11140645,8794318.144258333,633958.2872416667,687099.810525,1121483.1957916666,1486519.3537833334,1314861.202025,1357355.4679,969873.4153166666,1223167.4090666666,1924,1631,1173,797,194,36,9,3.9166666666666665,669.9166666666666,782.9166666666666,1755.3333333333333,1965.25,1725.5,2129.6666666666665,1849.1666666666667,1065.5833333333333,567.0833333333334,78.16666666666667,0.0,24.0,24.0,72.0,576.0,216.0,3720.583333333333,3720.583333333333,0.1393951426113427,0.1560651181258686,0.2954602607372113,0.3337959750173491,912.0,24.0,7575.75,5280219.2195,47.239176878,0.0,12592.499999999998,12592.499999999998
중구,신당5동,11140650,7895840.467291667,457506.5506333333,482477.9308,1180851.5600083333,1345099.7905166666,1280958.5459916666,1352675.302175,954779.1420083334,841491.6417,2182,1313,773,522,126,25,8,4.25,510.5833333333333,491.75,1513.5,1551.4166666666667,1412.8333333333333,1703.0,1235.0833333333333,755.9166666666666,322.3333333333333,41.333333333333336,24.0,96.0,8.0,36.0,1388.0,203.0,3064.916666666667,3064.916666666667,0.158614546216726,0.1625882065255362,0.3212027527422623,0.4408971509395837,1755.0,120.0,6180.75,5159585.198691667,50.25899079476667,0.0,9542.0,9542.0
중구,동화동,11140665,6850056.197483334,403925.8058833333,504312.154025,875367.1855416667,1100498.897225,1081765.7066833333,1184678.7868916667,832023.8824416666,867483.7710083333,795,1046,914,756,191,56,13,8.666666666666666,629.5,770.75,1255.25,1212.4166666666667,1402.9166666666667,1776.8333333333333,1353.9166666666667,694.4166666666666,397.1666666666667,60.0,0.0,12.0,0.0,48.0,713.0,201.0,2467.666666666667,2467.666666666667,0.131277126074149,0.1267975109375817,0.2580746370117307,0.2108194112967382,974.0,12.0,5647.416666666667,4242310.576341666,27.76136730536666,0.0,9561.833333333332,9561.833333333332
중구,황학동,11140670,9522617.643566666,590342.6521,399578.5141833333,1492126.4010166666,2059286.744058333,1502944.8651750002,1373701.7003833333,1055812.5001333333,1048824.2562916668,2963,1649,908,527,126,35,5,2.75,671.4166666666666,458.9166666666667,1915.0833333333333,2566.1666666666665,1658.0,1631.9166666666667,1425.1666666666667,813.4166666666666,307.9166666666667,55.16666666666666,156.0,120.0,48.0,36.0,3629.0,677.0,4481.25,4481.25,0.1664433516089548,0.2230301801247184,0.3894735317336733,0.4769032673426686,4666.0,276.0,7771.166666666667,6428059.710633334,65.93496384253334,0.0,11505.916666666664,11505.916666666664
중구,중림동,11140680,6732337.222591667,332711.83155,304866.5228833333,884216.2623916665,1452672.228925,1391718.4293916663,1091092.304475,651881.21045,623178.4348916666,1627,1390,1065,719,136,29,10,14.583333333333334,912.5,684.8333333333334,1257.6666666666667,1994.0833333333333,1856.3333333333333,1763.9166666666667,1382.3333333333333,843.6666666666666,384.6666666666667,60.41666666666666,48.0,72.0,83.0,120.0,2485.0,647.0,3251.75,3251.75,0.1127446585985358,0.1787613924996265,0.2915060510981623,0.3269694533762058,3455.0,120.0,6872.0,4819699.225183332,41.365321900733335,0.0,11154.999999999998,11154.999999999998
